'Day fraction since midnight on' 	'photometer (mg/L)'	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.59231484	2.78294611	113830.9844	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592326424	2.778542996	113830.9844	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592337998	2.778701305	113853.3281	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592349571	2.775295973	113853.3281	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592361146	2.777638912	113853.3281	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592372696	2.776123524	113853.3281	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592384291	2.778169632	113853.3281	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592395844	2.772442818	113827.4922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59240744	2.774753094	113827.4922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592418996	2.770764351	113827.4922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592430588	2.773946285	113827.4922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592442142	2.770652056	113827.4922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59245371	2.77448535	113826.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592465291	2.768395424	113826.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592476875	2.769404888	113826.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592488435	2.76550889	113826.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592500006	2.768862486	113826.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59251158	2.765753985	113825.0625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592523163	2.766504288	113825.0625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592534734	2.763428211	113825.0625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592546306	2.762841463	113825.0625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592557901	2.760970354	113825.0625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592569464	2.762792587	113810.3438	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592581031	2.761183977	113810.3438	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592592602	2.76165843	113810.3438	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592604171	2.759720326	113810.3438	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592615744	2.760421276	113810.3438	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592627324	2.758541107	113802.6484	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592638903	2.759228706	113802.6484	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59265047	2.759222984	113802.6484	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592662058	2.758962154	113802.6484	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592673626	2.75638032	113802.6484	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592685195	2.757084847	113780.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592696774	2.755813122	113780.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592708341	2.756340027	113780.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592719901	2.755829573	113780.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592731489	2.755895376	113780.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59274305	2.753545046	113769.1953	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592754621	2.75419569	113769.1953	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592766195	2.752582312	113769.1953	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592777768	2.75428319	113769.1953	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592789343	2.752138615	113769.1953	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592800933	2.752708674	113802.7109	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592812499	2.752125979	113802.7109	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592824082	2.751807928	113802.7109	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592835657	2.750598192	113802.7109	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59284723	2.751303196	113802.7109	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592858787	2.750967741	113779.5234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59287036	2.751152277	113779.5234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592881933	2.749593258	113779.5234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592893507	2.749491215	113779.5234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592905086	2.748147726	113779.5234	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
