Day fraction since midnight on 	photometer (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.487690753	2.683637857	113500.8672	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48770233	2.688467264	113513.5703	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.4877139	2.69400239	113513.5703	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487725477	2.701231003	113513.5703	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487737054	2.710177183	113513.5703	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48774862	2.722928286	113513.5703	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487760217	2.735347986	113512.4922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48777178	2.765901804	113512.4922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487783341	2.790964603	113512.4922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487794926	2.927749157	113512.4922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487806494	3.139645577	113512.4922	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487818078	3.506253243	113519.8047	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487829637	3.809696198	113519.8047	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487841218	4.158770561	113519.8047	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487852786	4.529157639	113519.8047	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487864368	4.887152195	113519.8047	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487875933	5.233259678	113526.6797	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487887511	5.68342495	113526.6797	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487899092	6.098487377	113526.6797	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487910666	6.557168484	113526.6797	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487922238	6.9669137	113526.6797	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487933814	7.430700779	113527.4375	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487945375	7.822933674	113527.4375	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487956945	8.400958061	113527.4375	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487968532	8.894943237	113527.4375	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487980102	9.447133064	113527.4375	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.487991674	9.702486038	113523.0078	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488003242	10.25668526	113523.0078	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488014821	10.4819746	113523.0078	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488026394	11.14051247	113523.0078	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488037958	11.64060974	113523.0078	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488049552	12.29706478	113545.625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488061112	12.74742794	113545.625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48807269	13.3318119	113545.625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488084259	13.82243729	113545.625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488095828	14.41063118	113545.625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
